label,Crop,Can Grow 0,Can Grow 1,Can Grow 2,Can Grow 3,Can Grow 4,Can Grow 5,Can Grow 6,Can Grow 7,Can Grow 8,Can Grow 9,Can Grow 10,Can Grow 11,Can Grow 12,Can Grow 13
label_apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_banana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_blackgram,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_chickpea,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_coconut,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
label_coffee,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_cotton,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_grapes,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_jute,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_kidneybeans,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_lentil,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_maize,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_mango,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_mothbeans,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_mungbean,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_muskmelon,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_orange,16,1,0,1,1,1,1,1,1,1,1,1,1,1,1
label_papaya,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
label_pigeonpeas,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_pomegranate,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_rice,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label_watermelon,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0