Sampling Area,Soil Type,Humidity (%),Temperature (ºC),Rainfall (mm),pH,(+/-) pH,EC (dS m-1),(+/-) EC,ESP (%),CEC (cmolc kg-1),(+/-) CEC,OM %,Residual Fe mg kg-1,Residual Cu mg kg-1,N (%),Cl (%),P (mg kg -1),HCO3 (cmolc kg-1),Ca (cmolc kg-1),Mg (cmolc kg-1),K (cmolc kg-1),Na (cmolc kg-1),Water Soluble Mn (mg kg -1),Organic Bound Mn (mg kg -1),Residual Mn (mg kg-1),Mn Carbonate (mg kg -1),Fe + Mn Oxide (mg kg-1),Zn Water Soluble (mg kg -1),Zn Carbonate (mg kg-1),MF Fe (%),MF Cu (%),MF Mn (%),MF Zn (%)
Bahawalpur,Sandy clay loam,32.77,30.43,21.76,8.27,±0.5,4.5,0.1,16.43,1.86,0.4,1.8,85.4,98.6,1.1,1.7,0.4,5.8,0.89,0.53,0.12,0.3,7.4,12.7,254.2,4.6,2.3,3.1,20.6,5.1,5.5,5.5,5.1
Charsada,Technosol,47.15,19.74,132.48,8.6,±0.2,7.18,0.6,18.69,1.93,0.1,0.5,75.1,92,2.1,6.7,0.26,5.8,0.73,0.61,0.22,0.36,24.4,9.4,251.9,4.3,6.7,4.9,25.6,10.4,8.7,10.5,10.4
Gujranwala,Technosol,32.95,30.6,21.88,8.17,±0.4,5.16,0.1,10.76,1.45,0.2,1.3,49.9,66.4,3.1,4.4,0.15,4.6,0.71,0.5,0.08,0.15,30.7,88.7,299.6,88.1,75.2,4.4,12.6,8.6,8.5,9,8.6
Khewra,Sandy Loam,35.08,32.37,15.85,9.59,±1.2,8.53,0.2,21.85,2.24,0.9,0.6,45.3,75.6,0.9,10.8,0.16,9.4,0.89,0.53,0.32,0.49,3.2,33.5,253.9,24.3,28.2,5.3,8.3,21.4,4,7.3,15.4
Mian channu,Technosol,34.62,32.14,22.99,8.15,±0.9,4.81,0.7,20.65,1.82,0.3,1.6,63.9,80.2,0.8,1.5,0.4,5.8,0.89,0.43,0.12,0.37,6.3,34.7,239.4,6.9,5.8,3.1,3.7,6.1,7.6,2.6,6.1
Mianwali,Technosol,34.82,32.33,23.13,8.44,±0.4 ,4.72,0.8,8.63,2.05,0.95,1.4,35.6,91.9,1.9,3.4,0.11,5.1,1.19,0.57,0.11,0.17,11.7,73.7,256.6,54.6,66.7,5.5,6.2,17.4,7.1,11.7,10.4
Multan,Technosol,35.2,32.96,23.57,8.16,±1.1,5.37,0.3,10.81,1.82,0.8,1.98,52.7,67,1.4,4.9,0.13,4.6,0.84,0.68,0.09,0.19,17.6,23.9,227.9,103.3,12.8,1.7,16.3,9.9,8.4,11.6,9.9
Abbottabad,Technosol,46.46,19.45,130.54,8.14,±1.2,0.16,0.1,3.73,1.28,0.7,1.2,51.7,84.9,5.5,0.1,13.7,0.3,0.55,0.55,0.12,0.04,17.2,28.9,206.5,13.4,18.9,15.4,10.9,17.5,17.9,14.4,17.5
Haripur,Technosol,46.85,19.61,131.65,8.16,±0.8,0.15,0.06,6.15,1.18,0.6,1.5,39,73.9,6.7,0.02,12,0.2,0.56,0.38,0.16,0.07,18.5,13.8,286.4,26.4,13.5,19.1,18.4,16.2,25.3,13.4,16.2
Layyah,Arenosol,41,25.2,31,8.6,±0.2,0.77,0.1,7.79,1.77,0.55,2.45,38.4,94.8,6.4,2.3,11.3,0.4,0.67,0.7,0.25,0.13,16.4,11.6,184.6,12.1,12.2,9.9,14.2,15.5,11.7,16.8,15.5
Mansehra,Loam,45.63,19.1,128.22,8.22,±0.6,0.18,0.02,8.01,1.35,0.45,3.21,48.2,80.1,5.3,0.01,13.8,0.6,0.71,0.46,0.07,0.1,17.5,16.7,192.6,19.3,18,15.6,15.3,16.1,23.2,14.7,16.1
Okara,Technosol,33.66,31.25,22.35,8.46,±0.8,0.39,0.1,7.32,1.96,0.56,2.7,51.6,67.4,7.1,1.4,9,1.8,0.95,0.74,0.12,0.14,8.7,7.5,207.8,3.4,3.7,7.2,5,13,19.1,17.7,13
Sahiwal,Technosol,32.74,30.4,21.74,8.63,±0.8,0.45,0.05,7.792,1.77,0.64,2.9,51.7,82.4,5.6,2.1,8.6,0.6,0.83,0.54,0.25,0.14,16.8,12.7,169.8,12.7,12.4,12.6,9.6,11.7,14,17.8,11.7
Tobateksingh,Technosol,34.24,31.79,22.74,8.32,±0.9,0.62,0.02,10.2,1.44,0.77,2.5,58.5,53.7,6.3,0.4,9.2,4.6,0.67,0.43,0.17,0.14,16.9,10.6,248.4,3.7,14.9,12.3,9.6,14.2,23.6,14.3,14.2